word,x,y
aaah,-0.7972187,2.7227173
aargh,-0.8310684,0.31969556
aback,3.2766795,1.7478014
abandon,2.4587681,-1.149598
abandoned,0.7285844,0.31856963
abandoning,-0.481731,-3.2163162
abashed,0.77352095,1.6284976
abbott,3.095343,1.2668114
aberforth,2.0826619,-0.81856817
abilities,3.157436,1.7070307
ability,1.1244742,-0.56006104
ablaze,-1.6556647,0.45271268
able,0.33775645,-0.6680339
abou,0.12495746,-2.3675125
above,-0.9682581,1.9798726
abroad,2.527198,-1.6767621
abrupt,4.028378,-0.08998526
abruptly,-0.58308446,0.35001862
absence,1.1601077,-0.76350725
absent,-2.651629,-2.2039416
absently,-2.569676,-0.29595
absentmindedly,0.14435625,1.3450961
absolute,1.211995,0.8327282
absolutely,0.39373058,-0.32879627
absorbed,-1.9574045,-2.4033263
absurd,-0.71452236,-3.3593848
abuse,-1.844657,-0.49871138
accept,0.81255627,-0.51230973
acceptable,0.26915327,0.18184297
accepted,2.085754,-1.4414313
accepting,2.5041199,0.47673282
access,3.2230253,-3.4074438
accident,0.8625906,-0.7599925
accidental,1.7540387,-1.3654337
accidentally,-0.8478469,-0.24320368
accidents,2.2646117,-1.0627072
accio,0.18209752,1.2126004
accompanied,-1.2934189,0.83654374
accompany,-3.4010632,-1.383869
accompanying,3.2211363,-0.669381
accomplished,2.345554,-0.3024193
accord,3.5095322,2.463148
according,-1.6075239,-1.6967614
account,1.6891003,-0.53597516
accounts,1.3842479,-1.5865469
accurate,2.284533,-1.582734
accusation,0.84997284,-0.17170571
accusations,1.7328607,-2.8219519
accused,2.7965086,1.4937166
accusing,2.996085,-0.36994582
ache,1.2043033,4.0848675
ached,4.0364604,-1.3830547
achieve,0.91210043,-1.3022388
achieved,0.51607317,-0.50897723
achievement,1.4847119,-2.8335996
achievements,1.5094411,1.9717994
aching,1.4854639,2.2412586
acid,0.90480953,1.1485693
acidgreen,-0.47882152,2.791529
acquired,1.9891343,1.4736755
across,-1.4364388,1.450732
act,3.164464,-1.5686269
acted,4.2862444,0.15042178
acting,1.9198555,-0.38994706
action,0.6465135,-0.48520908
actions,1.0209745,-0.2313565
activity,-3.5827775,-0.31325638
acts,1.9273483,-2.19036
actual,0.28245836,0.35744908
actually,0.39867744,-0.14094819
adam,2.2830088,2.2109745
add,0.16998363,-1.1149678
added,0.047233075,0.010172394
adding,0.5557808,3.654879
addition,0.9369106,-2.7883306
additional,-1.2860434,-2.1944833
address,1.4916162,1.3619018
addressed,0.32429644,0.798509
addressing,-4.0596285,-0.91548437
adjusted,0.9118334,2.9799335
admirable,1.8721414,1.4249951
admiration,0.9592823,0.3707285
admire,2.0869694,1.4628078
admired,3.9276443,0.5380152
admirers,2.4783437,-0.37504357
admiring,-0.13186939,-2.4224837
admit,-0.061292008,-0.89837706
admitted,0.9082651,-1.0678184
admittedly,1.6126189,-2.3154805
admitting,2.873332,-2.7120569
ado,-1.7213274,0.8602153
adopted,3.420917,-2.3542104
adult,-0.7967175,-3.9146369
adults,4.108143,-0.39876452
advance,2.774505,-2.2552164
advanced,-1.5484658,-2.6290042
advancing,-1.213116,-0.057093978
advantage,0.24736015,-2.8876271
adventure,-1.4345325,-2.2076454
advertisement,2.4939737,-2.560543
advice,2.5715647,-2.5618587
advisable,1.8911061,-0.67924064
advise,0.81315154,-1.4455992
advised,1.9947058,1.4332573
advising,1.7167149,-1.6323707
aerial,-0.1665651,2.7562501
affair,1.5983146,-2.4845617
affect,1.9289371,-1.035304
affected,1.0483614,0.5414896
affection,1.141221,0.79831094
affectionately,-2.4616435,0.14367092
afford,-0.12876587,-1.6626596
affronted,3.2663555,1.3596767
afraid,0.8884774,-0.6635906
aftermath,2.4970403,2.0964084
afternoon,-1.0254763,-1.4344233
afterward,-0.27262658,-0.95769864
against,0.14917943,0.12961313
age,1.1817445,-1.7144054
aged,-2.9799776,-2.0283701
ages,-0.8755762,-2.4234607
aggressive,3.7736254,-0.38076067
aggressively,1.4158103,0.61683995
aghast,0.150594,-0.12719156
agitated,0.62618667,0.22919634
ago,-0.1889676,-1.2393615
agony,-2.6551259,-0.033314563
agree,2.3097377,-1.1733072
agreed,-0.07746525,-1.4711545
agreeing,2.059898,-2.6041358
agreement,3.1591322,2.869557
agrees,0.2125903,-1.1090375
agrid,3.1452115,0.6319024
aguamenti,-0.48252526,0.5365846
aha,1.7511357,2.9627767
ahead,-1.0664319,1.2286305
aid,2.6669164,-0.58705753
aim,-1.5625622,-2.252808
aimed,0.8419012,1.764857
aiming,-0.84524727,0.5930861
aims,1.4574413,-3.4819567
aint,0.31701252,-1.2353572
air,-0.8535521,1.8469154
airborne,-0.94316155,0.24174142
airily,3.908377,0.82550347
airplane,3.0052166,-0.5772052
airplanes,3.6557107,2.319218
airy,0.8449944,2.3186076
aisle,-2.357193,0.95269877
aisles,2.5657988,1.0755726
ajar,-1.2618881,0.9573731
alarm,-4.038286,0.754856
alarmed,-1.3035424,-2.7950652
alarming,3.4799707,-1.7011884
alarmingly,0.21119298,2.599523
alas,-1.6568708,-1.5907815
alastor,1.1725901,-0.010005539
albania,0.795332,-2.6007097
albert,-0.061309308,-0.99204326
album,3.3767428,-0.5141449
albus,2.1340725,-0.24442723
alecto,2.0085042,0.06749023
alert,1.6825022,-2.18987
alerted,3.028964,-1.6399925
alice,-1.9043149,-3.4235587
alicia,-2.512421,-0.82359326
alight,0.60743964,2.3027732
alike,-3.5327232,1.6897705
alive,0.8233368,-0.3094671
allegiance,2.12309,0.1510769
alley,-3.4094543,-2.4229534
alleyway,-1.1199446,0.70241606
allow,0.26004925,-1.2094971
allowed,0.043767117,-1.4557273
allowing,-0.26201895,0.8239558
almighty,2.9213207,1.4675784
almost,0.12631507,0.49036744
aloft,-0.12263993,1.442605
alohomora,-1.2526348,-0.39021868
alone,0.19068067,-0.21636865
along,-1.6601639,0.855753
alongside,-0.14591004,0.24764663
aloud,-0.2823399,-0.8819685
already,-0.016534116,-0.06442334
altered,2.5063028,0.7112856
alternative,-1.549668,-2.576724
although,-0.6129096,-1.9298011
altogether,-1.5185627,-2.5808098
amazed,0.018061824,0.36845794
amazement,-0.4600582,1.4171299
amazing,3.7538705,0.855479
amber,0.4317593,2.461353
ambition,0.96506375,-1.5797756
ambitious,3.1753418,2.4462965
ambush,-3.1835306,-0.23973179
amelia,2.5597634,1.4306152
amid,-1.9919306,-0.052202724
amidst,-2.1508617,-0.6095023
among,-0.31816003,0.82304984
amongst,-3.7400224,-1.8110853
amos,0.04739369,-1.8237462
amount,0.07923965,-0.82500356
