,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
aaah,-1.2387016,-3.5298822,1.0255864,3.0461373,-2.2804284,-1.8313181,-5.178577,-5.61731,0.85550064,-1.1652625,-0.28946853,2.7980065,0.48189795,0.6740778,3.2030153,5.707463,1.9983271,2.023352,0.07945401,-6.627947,-4.1991405,-4.7102323,5.9939203,-2.0786307,1.317993,-1.2341378,-2.9184628,-1.5128257,-0.42012548,-1.7082657,1.1603174,-0.27316344,-0.12940833,2.0985258,2.0130115,-8.298323,0.40573838,3.834168,8.540117,-0.44983009,-3.7768743,2.0838003,3.4773126,-0.75376606,5.7621355,4.8036184,-3.9030619,0.57256764,-5.6201367,1.3699077,2.1107104,-3.2747626,1.0824006,4.4141283,-3.3401587,-3.5521429,0.40585124,-1.5929265,-6.90126,-2.1637006,8.79337,-1.5637752,-3.3315134,0.16292599,0.6272882,-9.209847,8.934491,0.6647934,2.3072124,-0.58877486,2.4556806,-4.3175454,-3.2549715,-4.7165074,0.99769926,-2.1405056,7.095309,1.3994443,-3.4156992,0.6412664,-3.2673721,0.94030267,-2.3960142,0.7930757,-7.9764857,-5.0675755,-0.92544353,-1.6096311,9.7442255,1.0714269,-2.7922614,-0.29924673,-6.8371787,-3.1607404,-6.356624,3.0975285,4.0623336,-3.0290887,-4.806342,-0.14998285,-1.603889,1.1425847,-3.2574856,6.258929,1.8563495,-3.4892533,-2.7046473,8.019612,-0.12361657,-5.8125234,-5.189915,-2.4900887,1.9788339,-0.063899755,-0.54657626,3.451104,7.1044316,-7.3228097,-3.65057,2.0548353,0.22420076,-1.0786484,-5.1523457,-7.3304543,0.21401057,4.4702754,1.6430873,2.6722164
aargh,-1.3935479,-4.2965174,5.010353,5.6206136,-0.41310608,2.1074338,-10.134109,-1.8392756,-4.7523003,1.8228058,4.106577,-0.26179594,-2.9578762,-5.9575353,-1.3544649,0.5356707,-2.8298638,1.6091411,-1.1452265,-3.1085365,-2.6627684,-2.3371062,6.58637,0.12710132,-2.3247273,2.9118152,-5.087456,5.3168087,-5.881881,2.8356783,0.8770278,-0.7884251,-0.6587914,-7.195217,-9.108991,-0.6146134,-1.3913871,-5.362248,1.7994074,-2.5803359,-0.75309145,4.3922834,-3.2038367,-1.0405492,5.4200077,1.6306441,-6.195718,2.6104019,-6.32102,0.07612729,5.0821056,6.4665604,0.29741055,-7.8737016,1.1064246,-4.7704387,-5.4820166,3.1228957,-5.3744383,0.32542238,3.8636105,-2.401552,5.983848,2.7487156,4.8112288,-1.2779591,4.0589056,3.5298994,-0.1407287,-4.4032674,4.8379602,-0.4920865,4.1928687,-1.1918335,-0.47854868,-1.7140162,-6.2927933,-0.893942,5.9275513,-1.6252319,-5.0559154,-2.98123,3.8651948,-0.20042627,-1.264735,-0.90306276,1.1739272,2.9181406,0.117089115,-4.2081103,3.6309628,-0.02250509,0.13658531,-6.619834,-4.3714423,1.7562904,-2.631457,-2.5115511,4.8156676,2.5746317,-1.3226371,-3.8344142,6.120765,-0.6926841,-2.3129084,2.4243371,-0.20135862,-3.1567817,-1.126747,-3.7238693,0.86852044,0.41415656,-5.83091,-4.2534213,1.9631205,-4.8758764,-3.394681,4.4933696,5.5355024,7.4601407,4.620542,-2.1451688,2.690242,-3.2101018,-2.9068131,0.1628509,1.9548582,1.2961862
aback,-0.4059168,-0.47043946,-1.2583543,0.24103853,-1.5087568,1.6769111,-3.8965666,-1.019101,3.955451,-0.09252534,1.8538834,1.1456889,-1.9264884,-1.531121,-0.9934939,-4.4685497,2.0795052,0.71410215,-0.9161884,-0.40777066,-3.455235,-0.62193996,-2.4892197,-1.4201814,4.013885,-2.7338085,-0.16098744,-1.9864309,-1.9836498,4.2652125,-4.139922,-2.624304,0.25430968,-0.1629412,0.6376688,-2.2326238,2.8145592,1.0040598,-2.2595334,-0.5323077,-2.427688,1.123655,-0.8525509,3.4779818,-0.6131778,-4.788459,-1.6386942,-0.08915437,-0.01639339,-1.2125037,-1.3031152,0.42358384,-1.8640294,-0.46115535,4.599141,-2.4631834,0.33303443,-0.8646066,-0.36898074,0.45346925,-0.34800702,1.7146232,0.7774472,1.0760275,0.21910219,-0.45459968,0.5061565,-0.6596926,-5.150633,3.8049414,0.72890174,-2.4875102,0.5647295,-0.8758452,2.0123127,0.20302138,2.0948026,1.2594486,-1.8981445,2.285769,-1.3171827,-0.6360058,-0.65827036,-0.9852898,0.62137353,-0.31474516,-1.3775021,0.73176336,-2.0117085,-2.131224,-0.2719851,-0.13476571,-0.35742477,-5.0214515,0.3054554,2.7528853,-1.0782233,1.9677876,1.2034447,-6.114838,3.2516234,0.5774908,1.9646121,-0.51658165,2.1038227,2.230675,4.1141696,-3.3433638,-0.16584043,-0.32150602,1.3031687,-0.6269013,-1.9851588,-0.027137952,-0.32091743,-1.8180287,0.9702121,-1.6682304,-0.24378243,2.8628123,-4.251821,2.2406757,1.2164794,-0.32510212,1.1207165,-3.5151842,-0.08090992,-1.5044986
abandon,1.294647,-1.2326047,7.035506,-2.5869126,13.415403,-6.791298,-2.2186947,2.7024465,-9.002317,-3.960298,2.2898796,-0.18109347,-4.3416862,-0.7390899,-4.9235606,-0.21186724,1.6766444,-0.7483748,0.70244217,-5.1845903,-9.834189,5.353634,1.3487614,2.5755396,3.7908165,5.181951,-7.1583476,-6.5368257,-2.2706556,2.9640157,-2.947598,6.489798,6.130628,1.806981,-2.7012956,-1.9996498,0.73391694,3.4594398,3.5569386,7.831581,2.0760105,7.9395356,1.5656577,-1.6711863,2.3009582,-5.6714473,-6.1028004,-11.218482,-2.859735,2.5187635,2.5788796,-5.8998566,-0.48306337,-2.7931123,6.234867,0.015315558,-9.533358,-6.230894,4.008069,0.82693493,-0.2504604,-1.970332,1.1255746,5.766499,6.606749,-0.2162764,-5.7283053,-10.183922,6.970549,2.5890265,-1.9917367,-4.061494,1.883994,5.262748,1.6940632,4.3649216,2.7250268,-4.976704,-1.3692762,-5.0841284,-4.0462465,1.0446883,0.7610545,1.3737345,-6.4025197,-2.9201477,2.3172302,6.01995,-2.8172073,-0.74143904,-7.191931,-0.9022537,3.1057878,-2.5576158,-7.4954705,-1.4515265,1.5921799,2.6870327,-3.489945,1.7846224,1.8246058,-2.1944976,-8.29527,-6.985486,-0.82791805,-1.6742263,-5.1747484,-5.2819214,-1.15197,7.6574097,3.9667673,1.9562249,1.0662614,-7.482781,-1.1481681,-2.4196324,5.800894,-4.339932,2.4744554,-5.763596,-3.4436433,-1.7304076,6.2069883,-5.54451,-0.979264,2.1627321,-4.847824,3.456189
abandoned,-1.4409794,-1.6432468,4.2136908,1.5682803,-0.4478195,-0.9827363,1.6164247,-2.9951715,-0.5751163,-0.9533964,3.052201,2.296791,-0.96904963,2.892645,0.3501348,0.045683343,3.0977376,1.2947321,0.6435032,-1.5914867,-0.9342353,2.2162066,-1.105983,2.161294,2.0749106,-1.614119,-3.3849564,-4.172328,-0.48170105,-0.515867,4.6051855,0.43499672,-0.17717917,4.2776012,1.9104348,1.8962344,2.1690636,6.081495,1.1144495,-1.8916491,-1.1447239,-0.7351307,-2.3835816,-3.8098142,-2.4759946,-0.8444684,0.9759856,0.056288317,-1.5341882,1.8740197,0.7433811,0.29491764,3.4610205,1.9464902,-1.7995793,2.1686263,6.99874,-0.7207525,-0.22403227,0.8725068,0.9443719,-1.6220735,-1.0700812,3.027026,2.8756359,-2.054331,-0.85891646,4.134988,-3.453435,0.034529977,-2.2721033,-0.08958654,0.6600655,0.4982029,1.996125,-2.2565966,-2.060993,1.8267803,-0.72707826,-1.1601375,-1.8485739,-1.8063151,-0.00541818,1.1117285,0.08517091,-0.042443987,-0.88076425,-1.9996212,0.010251939,1.956974,-0.19053611,2.4531403,2.1766572,1.0489233,0.33774486,-0.0014219205,0.5604289,1.8218502,0.9474766,2.166745,-1.0251262,0.6627756,0.76668113,1.0557305,-0.41685554,2.6833515,-1.6343999,-0.81031495,2.7348201,-2.270514,0.70761055,-2.2338963,-3.1872609,-3.1561499,3.0260432,4.6933494,-1.3590707,0.0052465214,1.5999464,1.5868078,1.2749424,0.058403652,2.4938536,-3.2471273,0.038254477,-2.1378417,-3.5379047,-2.5192127
abandoning,-0.46948653,-4.3864007,-1.2445773,5.8763704,-5.076549,7.0986524,-3.6336064,-0.5528307,-3.9294927,2.3348098,2.263928,-7.742439,-5.6445813,1.989219,-0.43764254,-2.231658,-3.2325096,-3.5203233,-3.7722068,-2.0771828,-1.4604449,-5.7388434,4.7317786,-2.882086,-2.066214,7.206218,5.7456484,0.5094332,6.682812,-1.9513131,3.9234629,3.4991422,0.851763,1.793965,2.8421402,-3.467817,-5.4810123,6.5873604,2.8400168,-3.4109802,-7.296068,9.330972,6.0511217,-2.0869143,4.0178576,-2.4188054,4.72134,-4.4777,0.94671565,-1.172497,-0.18814796,-4.362772,1.9424766,-0.99404144,0.29197934,-0.65541506,1.1837432,-1.0816798,8.493536,3.9311464,5.5940337,-0.092225656,6.265714,0.8377041,0.11814851,-1.6634289,3.7920616,-0.5967129,-0.493952,-0.75615805,-0.18717755,0.41982812,0.84494275,-4.818714,-5.2940974,-4.6262507,8.896138,-3.016321,7.5099983,-3.023241,-5.9331264,5.5941186,-1.5323306,-3.5106568,5.4266763,2.0258455,3.0091274,7.294223,-5.4381967,-4.7580905,-4.591789,-1.4004179,-1.2466419,6.149657,1.3045279,4.3716226,5.630516,9.219449,-3.9179485,-2.6128366,-2.2120697,-4.5239167,-2.5362663,9.353792,0.15192431,4.164735,2.8622482,-6.5188317,7.1984267,-1.2578701,3.2574747,-4.0885887,-0.33866933,4.249246,3.5373607,0.5722242,2.648661,2.4020934,3.824239,0.32506806,6.282781,-3.7157843,3.4929562,-0.4913779,1.7388176,-0.25283188,-0.5361926,-7.3221207
abashed,-2.3750188,-0.10074195,-0.06726122,3.4284556,1.7685676,0.1757008,-4.072697,-1.2257863,3.635771,0.74548733,2.1000319,-1.4991966,2.3215327,-3.0262334,-0.62376434,-8.269442,1.8663334,1.1399257,-1.8125019,-6.0712175,-5.628419,1.0536324,2.5206015,-3.8593476,-0.7492102,-6.537908,1.8435106,-4.2133894,0.8414624,6.4129243,0.7455262,-3.6920326,-0.11067401,0.03435936,0.50016296,2.7422655,7.024729,-3.266261,3.0044603,0.63202345,0.16940965,1.1705123,-1.5074198,-1.2711987,10.880488,-3.3024487,0.69720477,0.52305675,4.7050705,1.3860888,3.8801525,1.5727146,6.3923144,-2.2356062,4.09755,2.5138505,5.5944605,-1.8607539,-0.11203063,6.7197247,1.3281124,0.14281361,-2.8963356,-3.4764814,-4.620126,2.2769463,-4.0631256,0.2601214,-1.5683335,0.8815255,-1.8376778,1.1667264,1.7804941,4.8382373,0.12247716,2.3793912,-2.974544,1.0491002,3.795069,3.7200365,-0.73027384,6.2955933,0.58711797,7.670863,5.397638,-3.6820612,-3.7265787,-1.5126568,-2.7067668,-4.0517526,6.069152,-2.476492,0.30503482,0.7911207,-3.7127364,0.6488747,-8.593662,-0.4089324,4.3185253,1.3359206,-0.4233379,-0.2927021,11.752961,1.5519595,1.4841558,-2.088547,-0.09648494,1.6788491,0.30513424,5.34731,0.73150915,0.6458392,6.09615,3.4847648,-3.004554,-3.5411317,11.036674,3.7004008,1.4256063,-4.327333,-5.2563252,-3.8590875,-0.95425093,-0.29656616,-2.5197928,1.3632487,-3.227662,-1.2316859
abbott,-5.4740944,-5.1215487,5.1581635,-1.590053,-2.883277,2.8578212,5.688767,-6.6553125,-2.414743,-4.1854887,1.6716645,0.968717,-3.1617851,1.706954,-1.2010918,2.1452157,-0.21316434,-1.8152541,2.9171638,2.1017568,1.0108755,-3.8297925,-1.9084239,-4.9041686,0.11694118,4.3566766,3.3087308,-5.1664214,0.3524441,-0.04160089,-4.395192,-5.1162515,-0.28952697,2.098429,2.6324708,0.91398335,-1.6100886,-1.9157958,1.7387817,-3.3371959,-2.9758449,3.1187317,-0.22597265,3.0891623,-1.4724886,-7.486218,1.6125925,-3.6231194,-0.43229905,-1.1505591,1.723878,-4.2640862,-2.9506698,-0.5788033,-0.5392438,4.4456606,-2.324518,-4.5606713,-1.5752712,-3.888679,-3.135502,1.4844254,1.9041803,-8.018505,1.1115022,-4.772099,-1.2769762,-3.824134,0.17251955,-2.6733003,-2.5679631,-3.0041633,0.2707039,8.596491,-1.8177129,2.3274446,-1.1127673,0.34381232,2.8968928,-5.4571238,0.99031025,0.26990765,-2.6928062,-0.683084,0.37257332,-2.2065926,-2.5846367,0.9081515,1.5893105,-2.6758873,1.1115606,6.122631,3.5204992,-3.1800933,-7.6257324,1.5579977,-4.1221614,0.42409784,-2.2948618,3.196177,0.39799985,-2.2296734,6.4514956,-10.634298,-0.8975721,0.29806983,-5.054067,-0.52455264,-4.552266,3.1734746,0.285099,1.5060039,-2.2185414,5.1214247,2.435278,5.823732,0.50810105,4.270019,3.7797084,1.0906085,-0.31983408,1.3493844,-1.6383624,3.8715312,-1.7847537,-1.7672019,1.027532,5.8276944
aberforth,-0.2954131,-5.178887,-1.645318,1.7117327,-2.1567705,-0.48093012,1.4602501,-1.5705295,-0.22990598,-3.3639076,3.8981555,-0.27162316,0.89595807,0.39406708,0.22149749,2.9059596,1.4314023,0.7961211,1.9196379,-0.7788484,-0.3869599,-2.6148908,0.44973186,-0.9347934,1.1650022,0.01624414,1.7225119,-2.2592108,-0.87477815,0.11588049,-0.09007761,-0.09774259,0.5839986,-0.3280909,-2.5247428,-1.349222,1.8368158,1.5639048,-1.31206,1.1761386,-0.23381543,-0.8563301,-1.1321701,1.0338876,-1.0679479,0.48890242,2.517471,-1.441994,-1.8064939,3.205595,0.048061423,2.7962353,1.7146839,0.45867008,0.68760914,-0.09754949,1.3608636,-2.0404558,1.6055503,-0.6149549,-0.20132688,-1.9959664,0.1415378,2.2484994,-0.5643241,0.8869078,-1.0841612,-1.1212924,0.11273264,-0.97416174,-2.2357574,1.6829597,0.30789655,-0.9172955,0.13537745,-0.16457345,0.49266252,1.5867121,-0.9048477,1.8105302,2.03494,1.7374152,-1.4875026,2.0868914,0.54227406,0.71821076,-1.0936403,-2.8329163,-0.58862174,-2.623549,-0.52186555,0.36479992,-1.4504844,-0.78218555,-0.23796411,-1.276079,-4.459026,-0.62364846,-1.3271683,0.46197015,-2.039756,0.31851277,-0.37527883,1.9504857,-2.4013176,2.2004375,1.2264454,-0.097259216,-0.16322221,1.2760705,-0.6048109,-0.48789224,-0.50656337,-0.18213311,1.9033092,-0.051471427,0.113869295,1.6857249,-0.55572325,-2.1571987,0.08614825,-0.2702137,-1.7243322,-0.9194261,-0.5586324,-1.0470556,0.16019285,0.60938317
abilities,-1.1305777,3.2745078,0.3709759,6.7642555,7.1909695,1.368743,-3.160354,2.7794392,0.9548546,4.6467323,-4.6106553,0.21690212,8.369682,4.932991,1.6361116,0.9891739,-2.7387698,6.4887652,-4.930927,1.9071745,-2.0391762,-4.1979995,-0.987478,2.1013467,-0.39281175,2.8963487,1.0355418,5.1585703,-6.544322,3.2497764,0.30475932,4.1484966,-0.7249815,-2.8485556,5.716145,1.8153292,8.142226,-1.4172546,9.87507,-3.9335814,-3.7918465,-11.624538,3.3401709,-2.4465606,4.360108,2.4524386,1.9529167,-7.9555182,-8.189353,1.2045943,4.748118,-3.7628999,-1.9661922,-9.832047,-1.2908053,0.6460859,2.9777281,1.5948737,-0.6073097,6.4964633,-1.2790359,-1.6117008,-4.139593,-9.451949,-8.967747,-3.6695745,3.7253911,-2.7288954,3.3249283,2.5999146,-4.14298,-3.858204,-0.18630113,-0.79211336,2.5560224,-6.6499953,-1.304696,4.709094,-3.0782592,-3.1278524,7.394821,0.062212333,-3.813359,4.411788,3.6063228,-0.25168598,-6.1300035,-7.626618,-1.2269577,-1.6318218,-3.7554975,-5.6909575,2.0016713,5.302635,-3.573686,-2.2525682,3.0793967,-3.8885858,2.2040005,0.48971885,0.8821129,-8.575709,-3.5909996,-2.2395134,0.021951294,3.5799835,6.276394,-8.336658,1.2136056,1.4064869,-1.9443264,-1.9111623,3.93817,-5.188291,-3.0734997,-0.8810399,-2.4231207,-1.1827011,-10.337373,-5.4293776,1.7456332,-1.214616,6.947617,3.0024467,0.5259748,-0.47029778,1.6710871,3.9458933
